"","speciation_initiation_rate","speciation_completion_rate","extinction_rate","crown_age","crown_age_sigma","sampling_method","mutation_rate","sequence_length","mcmc_length","minimal_ess","tree_sim_rng_seed","alignment_rng_seed","beast2_rnd_seed","median_nltt"
"134",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1220,2,1,0.00413414205720334
"135",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1221,2,2,0.194543904598168
"136",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1222,2,2,0.302594403230853
"137",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1223,2,2,0.311336216673959
"138",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1224,2,2,0.316529530130608
"139",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1225,2,2,0.0277125342016188
"140",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1226,2,2,0.294677064833682
"141",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1227,2,2,0.18276458420923
"142",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1228,2,2,0.247231407694819
"143",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1229,2,2,0.162654806838472
"144",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,122,2,2,0.36658646277053
"145",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1230,2,2,0.274627334196682
"146",0.2,1,0,15,0.01,"oldest",0.05,10000,1000000,200,1231,2,2,0.265776788866697
"147",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1232,1,1,0
"148",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1233,1,1,0.0239370503295963
"149",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1234,1,1,0.0154545725696311
"150",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1235,1,1,0.0163124528636242
"151",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1236,1,1,0.0156654148259713
"152",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1237,1,1,0.0192738554663661
"153",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1238,1,1,0.0159642517931247
"154",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1239,1,1,0.0162324291787634
"155",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,123,2,2,0.0208942432124929
"156",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1240,1,1,0.0137618883710379
"157",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1241,1,1,0.395560984078589
"158",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1242,1,1,0.190069462233319
"159",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1243,1,2,0.25149927943137
"160",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1244,1,2,0.0198459465533748
"161",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1245,1,2,0.0183373798276562
"162",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1246,1,2,0.0272474447173181
"163",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1247,1,2,0.0170632952807515
"164",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1248,1,2,0.0167982577464271
"165",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1249,1,2,0.0109221444625251
"166",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,124,2,2,0.356585727223707
"167",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1250,1,2,0.0255338182753505
"168",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1251,1,2,0.0129068778013354
"169",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1252,1,2,0.311597655655135
"170",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1253,1,2,0.299586010613741
"171",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1254,2,1,0.0206831353070226
"172",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1255,2,1,0.013385286020555
"173",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1256,2,1,0.00681502305917991
"174",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1257,2,1,0.0201244935005335
"175",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1258,2,1,0.0100377779998596
"176",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1259,2,1,0.022378680104121
"177",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,125,2,2,0.0195991848029504
"178",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1260,2,1,0.0145101220102093
"179",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1261,2,1,0.0150558202070547
"180",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1262,2,1,0.018850498363815
"181",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1263,2,1,0.0122278758212941
"182",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1264,2,1,0.0222356172610257
"183",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1265,2,2,0.0145220463202341
"184",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1266,2,2,0.0228572747564539
"185",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1267,2,2,0.0165763058612624
"186",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1268,2,2,0.293708818033304
"187",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1269,2,2,0.0165325607971138
"188",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,126,2,2,0.0213001224081099
"189",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1270,2,2,0.0204317091639061
"190",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1271,2,2,0.00851322204663504
"191",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1272,2,2,0.0218900217512487
"192",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1273,2,2,0.246407465669374
"193",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1274,2,2,0.0147180128053356
"194",0.2,1,0.1,15,0.01,"youngest",0.05,1000,1000000,200,1275,2,2,0
"195",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1276,1,1,0.239114152848131
"196",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1277,1,1,0.263759267736945
"197",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1278,1,1,0.00581487067668761
"198",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1279,1,1,0.343979677081384
"199",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,127,2,2,0.0217075429566076
"200",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1280,1,1,0.362715897770301
"201",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1281,1,1,0.220609975252327
"202",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1282,1,1,0.366978893315218
"203",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1283,1,1,0.257949873205242
"204",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1284,1,1,0.253425235040551
"205",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1285,1,1,0.266445105882983
"206",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1286,1,1,0.218789058341613
"207",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1287,1,2,0.004777433624952
"208",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1288,1,2,0.265321410501565
"209",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1289,1,2,0.00601649785892404
"210",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,128,2,2,0.386935909199689
"211",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1290,1,2,0.00394288951239823
"212",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1291,1,2,0.307544853990887
"213",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1292,1,2,0.182905197509839
"214",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1293,1,2,0.260670656639018
"215",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1294,1,2,0.23261752049876
"216",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1295,1,2,0.186116147052778
"217",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1296,1,2,0.00573633430840725
"218",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1297,1,2,0.327793276726248
"219",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1298,2,1,0.14655069963375
"220",0.2,1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,1299,2,1,0.204584146259781
"221",0.2,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,129,2,2,0.346701816081642
"222",0.2,0.1,0,15,0.01,"youngest",0.05,1000,1000000,200,12,1,2,0.0156999641881917
"223",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2200,1,1,0.342494553420925
"224",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2201,1,1,0.361348565877147
"225",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2202,1,1,0.325935822519506
"226",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2203,1,1,0.341616391013642
"227",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2204,1,1,0.266135332845066
"228",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2206,1,1,0.332392416636127
"229",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2207,1,1,0.321838294392601
"230",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2208,1,1,0.366389693438639
"231",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2209,1,1,0.313498109103881
"232",0.2,0.1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,220,1,1,0.100067671653515
"233",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2210,1,1,0.34360475253829
"234",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2212,1,2,0.319678946842401
"235",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2213,1,2,0.371812599690105
"236",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2214,1,2,0.343525446551803
"237",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2215,1,2,0.347197180413258
"238",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2216,1,2,0.337023525256059
"239",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2217,1,2,0.351301059432623
"240",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2218,1,2,0.361986110536234
"241",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2219,1,2,0.33824185756245
"242",0.2,0.1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,221,1,1,0.378330925517724
"243",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2220,1,2,0.35764724277776
"244",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2221,1,2,0.342234565401442
"245",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2223,2,1,0.3113190533969
"246",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2224,2,1,0.377846073897521
"247",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2227,2,1,0.332977329922123
"248",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2229,2,1,0.318225192198128
"249",0.2,0.1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,222,1,1,0.081757351075342
"250",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2230,2,1,0.345847698992633
"251",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2231,2,1,0.322195284707065
"252",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2232,2,1,0.35654356218438
"253",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2233,2,2,0.324781201620107
"254",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2235,2,2,0.0152791682833478
"255",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2236,2,2,0.349848677454042
"256",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2237,2,2,0.308252339051684
"257",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2239,2,2,0.320377983285165
"258",0.2,0.1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,223,1,1,0.004725545774691
"259",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2240,2,2,0.318755476554783
"260",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2241,2,2,0.371989380876627
"261",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2242,2,2,0.369180029624284
"262",0.4,0.1,0,15,0.01,"oldest",0.05,1000,1000000,200,2243,2,2,0.365104111582843
"263",0.4,0.1,0,15,0.01,"oldest",0.05,10000,1000000,200,2244,1,1,0.00524708626363803
"264",0.4,0.1,0,15,0.01,"oldest",0.05,10000,1000000,200,2246,1,1,0.296131371881247
"265",0.4,0.1,0,15,0.01,"oldest",0.05,10000,1000000,200,2248,1,1,0.26608609352707
"266",0.4,0.1,0,15,0.01,"oldest",0.05,10000,1000000,200,2249,1,1,0.336014949846969
"267",0.2,0.1,0.1,15,0.01,"youngest",0.05,10000,1000000,200,224,1,1,0.299777804999917
"268",0.4,0.1,0,15,0.01,"oldest",0.05,10000,1000000,200,2251,1,1,0.3612729999908
